Date,Open,High,Low,Close,Volume,Adj Close
2009-10-29,5080.40,5145.60,5042.70,5137.70,1347176800,5137.70
2009-10-28,5201.00,5201.00,5074.10,5080.40,1420507200,5080.40
2009-10-27,5191.70,5230.60,5181.90,5201.00,1445760900,5201.00
2009-10-26,5242.60,5281.10,5166.40,5191.70,934833900,5191.70
2009-10-23,5207.40,5299.60,5207.40,5242.60,983285400,5242.60
2009-10-22,5257.90,5257.90,5166.50,5207.40,1018440400,5207.40
2009-10-21,5243.40,5268.00,5174.50,5257.90,1143500900,5257.90
2009-10-20,5281.50,5298.50,5243.40,5243.40,1072976800,5243.40
2009-10-19,5190.20,5281.50,5190.20,5281.50,827610900,5281.50
2009-10-16,5223.00,5272.90,5176.40,5190.20,1179478000,5190.20
2009-10-15,5256.10,5267.90,5218.90,5223.00,1109682600,5223.00
2009-10-14,5154.10,5261.30,5154.10,5256.10,1217495700,5256.10
2009-10-13,5210.20,5221.60,5154.10,5154.10,1120979100,5154.10
2009-10-12,5161.90,5231.20,5161.90,5210.20,779456000,5210.20
2009-10-09,5154.60,5171.50,5130.40,5161.90,930744900,5161.90
2009-10-08,5108.90,5172.80,5108.90,5154.60,1182546100,5154.60
2009-10-07,5138.00,5156.20,5104.50,5108.90,926710200,5108.90
2009-10-06,5024.30,5149.90,5024.30,5138.00,1042875300,5138.00
2009-10-05,4988.70,5024.30,4976.90,5024.30,935716800,5024.30
2009-10-02,5047.80,5047.80,4955.00,4988.70,1337511300,4988.70
2009-10-01,5133.90,5164.40,5044.00,5047.80,1109157200,5047.80
2009-09-30,5159.70,5190.00,5092.80,5133.90,1219158600,5133.90
2009-09-29,5165.70,5184.00,5136.50,5159.70,906053700,5159.70
2009-09-28,5082.20,5170.80,5050.80,5165.70,926279400,5165.70
2009-09-25,5079.30,5121.90,5079.00,5082.20,972278100,5082.20
2009-09-24,5139.40,5165.40,5073.40,5079.30,1161742200,5079.30
2009-09-23,5142.60,5175.10,5126.60,5139.40,1014738400,5139.40
2009-09-22,5134.40,5189.90,5134.40,5142.60,796945400,5142.60
2009-09-21,5172.90,5182.20,5107.70,5134.40,967255000,5134.40
2009-09-18,5164.00,5183.90,5147.10,5172.90,1597538500,5172.90
2009-09-17,5124.10,5173.10,5124.10,5164.00,1020059800,5164.00
2009-09-16,5042.10,5131.30,5042.10,5124.10,1133978800,5124.10
2009-09-15,5018.90,5062.70,4996.50,5042.10,881002700,5042.10
2009-09-14,5011.50,5020.90,4953.70,5018.90,714999200,5018.90
2009-09-11,4987.70,5038.80,4987.70,5011.50,1012630000,5011.50
2009-09-10,5004.30,5035.30,4956.60,4987.70,1109164700,4987.70
2009-09-09,4947.30,5004.30,4928.40,5004.30,914448800,5004.30
2009-09-08,4933.20,4972.00,4926.00,4947.30,1104604300,4947.30
2009-09-07,4851.70,4941.70,4851.70,4933.20,762580100,4933.20
2009-09-04,4796.80,4873.80,4796.80,4851.70,938072700,4851.70
2009-09-03,4817.50,4841.50,4788.90,4796.80,965052300,4796.80
2009-09-02,4819.70,4821.90,4776.50,4817.50,1274571600,4817.50
2009-09-01,4908.90,4921.20,4819.70,4819.70,1152400000,4819.70
2009-08-28,4869.40,4944.20,4869.40,4908.90,1070449900,4908.90
2009-08-27,4890.60,4906.20,4855.30,4869.40,912983400,4869.40
2009-08-26,4916.80,4927.00,4872.40,4890.60,908111700,4890.60
2009-08-25,4896.20,4923.30,4858.90,4916.80,1044396000,4916.80
2009-08-24,4850.90,4911.40,4850.90,4896.20,900326800,4896.20
2009-08-21,4756.60,4858.50,4735.80,4850.90,1320641000,4850.90
2009-08-20,4689.70,4766.90,4689.70,4756.60,943369200,4756.60
2009-08-19,4685.80,4698.50,4625.40,4689.70,774342200,4689.70
2009-08-18,4645.00,4688.20,4645.00,4685.80,732862900,4685.80
2009-08-17,4714.00,4714.00,4610.30,4645.00,801979300,4645.00
2009-08-14,4755.50,4790.20,4699.50,4714.00,871182500,4714.00
2009-08-13,4716.80,4790.00,4716.80,4755.50,1014328700,4755.50
2009-08-12,4671.30,4722.50,4631.70,4716.80,1010701300,4716.80
2009-08-11,4722.20,4744.10,4657.80,4671.30,1051822000,4671.30
2009-08-10,4731.60,4731.60,4688.80,4722.20,897231000,4722.20
2009-08-07,4690.50,4743.60,4632.20,4731.60,1530040700,4731.60
2009-08-06,4647.10,4729.60,4647.10,4690.50,1312467600,4690.50
2009-08-05,4671.40,4696.60,4630.60,4647.10,1393738700,4647.10
2009-08-04,4682.50,4682.50,4627.70,4671.40,958905000,4671.40
2009-08-03,4608.40,4710.20,4595.60,4682.50,1178151300,4682.50
2009-07-31,4631.60,4645.50,4599.70,4608.40,1120900800,4608.40
2009-07-30,4547.50,4646.90,4547.50,4631.60,1158922000,4631.60
2009-07-29,4528.80,4581.80,4512.10,4547.50,895797600,4547.50
2009-07-28,4586.10,4616.40,4520.30,4528.80,966741300,4528.80
2009-07-27,4576.60,4615.10,4553.10,4586.10,875047700,4586.10
2009-07-24,4559.80,4603.20,4536.50,4576.60,1145449400,4576.60
2009-07-23,4493.70,4566.80,4472.10,4559.80,1104970600,4559.80
2009-07-22,4481.20,4498.00,4449.20,4493.70,929533300,4493.70
2009-07-21,4443.60,4502.10,4437.80,4481.20,1080316300,4481.20
2009-07-20,4388.80,4464.80,4388.80,4443.60,953645300,4443.60
2009-07-17,4361.80,4411.90,4361.80,4388.80,1076386500,4388.80
2009-07-16,4346.50,4385.10,4329.40,4361.80,924794400,4361.80
2009-07-15,4237.70,4346.50,4237.70,4346.50,916566100,4346.50
2009-07-14,4202.10,4256.40,4198.70,4237.70,867775300,4237.70
2009-07-13,4127.20,4209.30,4096.10,4202.10,834993700,4202.10
2009-07-10,4158.70,4160.50,4123.50,4127.20,814402100,4127.20
2009-07-09,4140.20,4186.40,4140.20,4158.70,900971500,4158.70
2009-07-08,4187.00,4197.50,4130.60,4140.20,1052135100,4140.20
2009-07-07,4194.90,4242.10,4184.40,4187.00,847664100,4187.00
